restaurant_name,location,price_for_2,din_rating,din_count,del_rating,del_count
Dunkin' Donuts,"Phoenix Market City, Velachery",600,3.9,637,3.8,542
Nellai Fast Food,Thousand Lights,300,4,366,3.8,24200
Alchemy Bar & Lounge,"Hotel Rajpark, Alwarpet",2000,4.5,432,None,Does not offer Delivery
Aasife Biriyani,GST Road,750,3.7,502,3.9,997
Hunger Palato,Medavakkam,350,3.9,128,3.9,44
Daalchini,Chromepet,500,3.8,566,3.8,2981
Aasife & Brothers Biriyani Centre,St. Thomas Mount,750,3,766,3.4,9122
Donut House,Egmore,400,4.1,434,3.5,1330
Tangerine,Alwarpet,1500,4.2,458,3.9,170
Convo@C20,Adyar,1000,4.1,417,3.2,712
Bay 146 - The Savera Hotel,"The Savera Hotel, RK Salai (Cathedral Road)",1300,4.1,627,None,Does not offer Delivery
Kim Ling,Anna Nagar East,900,4.3,533,4.4,1163
Petuk,Perungudi,250,4.4,640,4.1,862
Peshawri - ITC Grand Chola,"ITC Grand Chola, Guindy",4500,4.6,629,None,Does not offer Delivery
Off The Record,Nungambakkam,1500,4.3,558,None,Does not offer Delivery
Gangotree,Gopalapuram,400,4.1,621,4,606
Thoondil,Akkarai,800,4,645,3.9,94
Faasos,Porur,450,None,Does not offer Dining,4.1,10900
Mylai Karpagambal Mess,Mylapore,200,3.8,631,4.2,188
Spectra - The Leela Palace,"The Leela Palace, MRC Nagar",2500,4.5,610,None,Does not offer Delivery
Hotel Mass,Adambakkam,300,4.2,644,4,8089
Moonlight Takeaway & Delivery,T. Nagar,450,3.7,438,4,1886
Parambriym,Anna Nagar West,650,3.9,557,3.9,2037
Food By Night,Perungudi,500,2.7,599,3,8450
The Miner Diner,Nungambakkam,800,3.9,626,3.4,351
Layalee,Ekkaduthangal,700,4.4,586,4.1,143
Prive Restaurant,Mylapore,1200,4.3,619,4.3,390
Wangs Kitchen,Nungambakkam,800,3.4,625,3.5,4839
Cheesy Juicy Burgers,Anna Nagar East,400,4.3,588,4.3,3350
Amaravathi,Gopalapuram,800,3.7,475,4.4,2447
Bombay Kulfi,Adyar,200,4.9,534,4.3,1476
The Great Kabab Factory - Radisson Blu GRT Hotel,"Radisson Blu, GST Road",4000,4.2,638,None,Does not offer Delivery
LunchPI @fs,Taramani,400,None,Does not offer Dining,3.9,15700
Naga Reju Fast Food,Choolaimedu,300,4.1,379,3.8,2224
Kake Da Punjabi Dhabba,Perungudi,600,4,382,3.5,1870
New Kurinji,Pallavaram,650,3.9,531,3.8,9663
